ASV	19G	23G	27G	1G	5G	10G	13G	17G	21G	25G	30G	B1	B3	B5	B8
f050466e2fcc9909ed01b9d042b7da34	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4392a49e75e206df3cba34d696758625	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
f1d398c2580bb1f6a0822f57d64a1df6	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
11fec4a1c70eb3170ba543cce408c60f	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
1dffd06802feb56db06e81da3ece83b9	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
d0d7d0438436dc62cdf26be5f2dbd28c	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
0842a59aa8abf23cebfe77618589439c	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
7a05b39cb56906fdd9e6153c72d4d0d5	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
1c2635a436f4e14ae975a3d50e16e54b	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
56f8045264bc9c67481a072aec03860a	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
3884b950392f63e5e002ba6bc46a0107	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
2f2d4093c7b0d345da530b9f07b459f6	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
a5b85f2510c01590e87e219292d73a3f	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
e68fc3e1618b911f24f6b2522e9f878d	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
d5d05dcc091698501cb9976ebf65483c	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
d1c473ef3326a5add9bb83e8b8107d7f	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1
c5d55af7dffbcb0100a25e98d5d43625	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
304a043c27d92b435b04b50ddbdc8cb1	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
5ef0e34cace3f8240ad58ecf99bcc0cc	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1dd517c8f8ebdd1187921a1d81cd5e4c	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ce01f8a760835cfde5a9879682f99d16	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
1cb124355543485633c69394bad1a496	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
ecd29d8d803074de63f105945ee9335b	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
7568847d15c3ee5e8e721715163f1a6b	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
db2b5511e9fff8a430a7433c98a3aacd	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
eb5df33d750a9445ac062f7733e1a273	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
48189379b727666d3ec1b311e48a33ae	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
0d882a07e990abdee290a1e21de64ae5	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
2ed34d38bf2c7f01fb707fa154d32c99	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
7d7f806e46b7b6d977ebdb29b250f8c8	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
28e27dd86bfa0d0bb5b7e0d4ce15b76e	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
