ASV	L13	L1	L9	L5	L17	L14	L2	L10	L6	L18	L15	L3	L11	L7	L19	L16	L4	L12	L8	L20
226006213537b3481ccaa4ce4b2d0d14	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9508eb68e35849fba0466c9fd7132963	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0
3f3104604a4c92f67588298a80a67665	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
2d1c6b18ff7e20ab3b857617f45fd469	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
7dd1814c97b02a4a07a4091e525dffd2	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
627ea1d7eeef65208376ec2ce6d33ff6	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
45e08baa44101c35b229daa451d47f92	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
122ec445bb19ee3bc70d5be1bcf07818	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
27c8ab890c73a42d19f4c0c91a7ee93c	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
dba3a959714b81d49df7cb7ad23aef6e	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
b504163921929d69369aa006e2133968	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
65b7bb98f1d9037df3abf2da842ca9a3	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
8910db5dcc2115c5adb5331cb3f5ff80	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
a91d2d6c004b5be8088917d80f6fd1ff	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
3951cbaa9ed0bfb5fa1d85648c069815	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
76d9370ad9818e5977c99807435a72b4	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
62a6e9337a9ce51660de58edf410f211	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
c9c8a5a5995cc1dc2fd1099e879b9cfd	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
beb0d449f3a5debcf3af86a28b628a70	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0
d5d052c68bc3b4ad41f7ca5a072745f3	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
29b6644420b54a6fd2b29b7d5ea9b928	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0
f75eceb4dda25772adf1c972b93b86b5	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
bf100618a95c9874d4e0e0a3f7cda568	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
c35d13b9fb72c3203207d9a328ffce62	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
4271bf7b16ecc3c89dbc391f909a6079	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
cd5fb5323f9e912e24d0016687a256cc	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
76e1b646f5d83e8e4db50c5f5c344f80	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
4205a1ebbfd1fec4d093af79953fea22	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ca882692efbc71b2b2908333fc18523a	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
14c04dee09846d1f26e11b7402ef7ae6	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
7f60125e443dc3783babb83abb84f099	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0
a9318a797055c08468634e3fd9664b31	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
4357391dbf0262d8e4804c41e96026fd	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
a0ce0900a2faf9434db6b00d51b2de64	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
b00ccf01e739183db261254846952977	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
9377166168e71ac95fc9fbc3013d6005	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
d927912555fcd04964574a2d34aa0d71	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
54409108b0d364eb767ae9b005bbdbcc	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cae5c6d0d5195dfda2c361c24ad33612	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
bdca98fc0981632a5ecb9e0cf9a3b6b7	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
48efdeb58d39d4dc937fd31a9fbede79	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
513c67252dadfb93367bbb2a160cfcb6	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
efd02cea4973e78b37d47f8ad8646b60	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
77e5f24ae2db0972e3773c3f4734e44f	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
8d95c160af8a31040625501993109dbc	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
af4e4d58103407189afa411e9d9535f1	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
daf54b53bb277331b18bf55f2d1210e2	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0
da3945768cb5eb20b31b3e659f421e62	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
ed1f5da5eef65ef7a4a4f4a04f9daf5c	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0
508639726c97cdd3931664caa0d668e5	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0
c58e84a7a867bb6e137fda65058364e5	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0
3e87f094aeecc87b901b15d7338fc942	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0
0d391ddc849fe8fe54de114a4a6b3d46	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
018b04e59e8676aef3257e896e07373b	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
1d5f9e631487b3393d4368aae11b458b	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0
e169f840bcb10cea0dc7c8ab7701bdec	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
294971e2bbd01d945d783b75c1b1638f	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0	0	0	0
c85dc211e87e8329ef529477fc78cad7	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
4f2742dff1115cdc9dbe6f3653777aef	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
cae0fb194850d707a67d8f6f2c885b77	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0
47864ada2c5fbbfea51ac0562897a65a	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
68e503264246077d739f5f77ddc8e77b	0	0	0	0	1	0	0	0	0	0	0	0	0	0	0	0	0	0	0	0
a90af2b31b43a839e326b7b1cf723870	0	0	0	0	0	0	0	0	0	0	0	0	0	1	0	0	0	0	0	0
